,TSLA,QQQ,Y_d1_pr_change_diff,Y_d5_pr_change_diff,earnings flag,tweet count,tweet flag,compound,positive,negative,neutral,tesla flag,spacex flag
2019-12-20,81.11799621582031,210.05609130859372,-0.00019492948071819782,0.10988419633044155,0.0,3.0,1,0.4404,0.139,0.061,0.8,,
2019-12-23,83.84400177001953,210.61090087890625,0.03096419020767005,0.08454112722574392,0.0,41.0,1,0.996,0.23600000000000002,0.114,0.65,,
2019-12-24,85.05000305175781,210.7202911376953,0.013864475668462717,0.10778441612849554,0.0,3.0,1,0.8591,0.302,0.0,0.698,,
2019-12-26,86.18800354003906,212.57969665527344,0.0045563238689958485,0.07367554915767571,0.0,23.0,1,0.976,0.131,0.069,0.8,,
2019-12-27,86.07599639892578,212.40072631835938,-0.00045767004646568576,0.049953442395634484,0.0,5.0,1,-0.1531,0.157,0.17,0.674,,
2019-12-30,82.94000244140625,211.00865173339844,-0.029878850012414637,0.01792639306455035,0.0,83.0,1,0.9997,0.19,0.075,0.735,,
2019-12-31,83.66600036621094,211.4063873291016,0.006868364837027796,-0.0059000501147978834,0.0,8.0,1,0.8855,0.22,0.084,0.696,,
2020-01-02,86.052001953125,214.9362945556641,0.011820915256431253,-0.008226289817311994,0.0,4.0,1,0.6981,0.254,0.174,0.5720000000000001,,
2020-01-03,88.60199737548828,212.96749877929688,0.03879309492313188,0.026184199803823915,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2020-01-06,90.30799865722656,214.33969116210938,0.012811458487162142,0.040037076577369435,0.0,7.0,1,0.9231,0.302,0.0,0.698,,
2020-01-07,93.81199645996094,214.30984497070312,0.03893977262894632,0.115437810329315,0.0,15.0,1,0.9626,0.151,0.021,0.8290000000000001,,
2020-01-08,98.4280014038086,215.9206695556641,0.04168851213711222,0.15508608916010114,0.0,1.0,1,0.8011,0.545,0.0,0.455,,
2020-01-09,96.26799774169922,217.7502899169922,-0.03041858863127922,0.10562663270689421,0.0,3.0,1,0.4588,0.158,0.0,0.8420000000000001,,
2020-01-10,95.62999725341795,217.1934356689453,-0.004070030684286241,0.05947790241498807,0.0,12.0,1,0.9814,0.332,0.0,0.6679999999999999,,
2020-01-13,104.97200012207031,219.69918823242188,0.08615207983971862,0.13737297175188878,0.0,20.0,1,-0.8089,0.129,0.152,0.72,,
2020-01-14,107.58399963378906,218.8341064453125,0.02882039510536949,0.12569344323726717,0.0,7.0,1,0.9708,0.163,0.024,0.813,,
2020-01-15,103.6999969482422,218.923583984375,-0.036510930659353624,0.03965445909716436,0.0,1.0,1,0.6486,0.209,0.0,0.7909999999999999,,
2020-01-16,102.697998046875,221.02163696289062,-0.01924597220672941,0.05176932065326123,0.0,2.0,1,-0.0772,0.0,0.075,0.925,,
2020-01-17,102.0999984741211,222.11541748046875,-0.010771642761837952,0.044994864868276085,0.0,19.0,1,0.4161,0.078,0.055,0.867,,
2020-01-21,109.44000244140624,222.0159912109375,0.0723379769101854,0.03201841177445175,0.0,20.0,1,0.9965,0.259,0.025,0.716,,
2020-01-22,113.91200256347656,222.6026306152344,0.038220243797631115,0.04159826484634532,0.0,12.0,1,0.9719,0.324,0.055999999999999994,0.62,,
2020-01-23,114.44000244140624,223.31857299804688,0.0014189207373158652,0.0834925926479031,0.0,7.0,1,0.9382,0.256,0.0,0.7440000000000001,,
2020-01-24,112.96399688720705,221.43927001953125,-0.004482290879326278,0.09807343157381232,0.0,2.0,1,0.0,0.0,0.0,1.0,,
2020-01-27,111.60399627685548,216.8653259277344,0.008616284235124949,0.1167219627727395,0.0,13.0,1,0.8372,0.11599999999999999,0.046,0.8370000000000001,,
