,Compound,Positive,Negative,Neutral
371,0.0,0.0,0.0,1.0
372,0.0,0.0,0.0,1.0
373,0.0,0.0,0.0,1.0
374,0.0516,0.077,0.072,0.85
375,0.4003,0.402,0.0,0.598
376,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,1.0
378,0.7269,0.157,0.047,0.796
379,-0.296,0.0,0.099,0.901
380,0.6369,0.321,0.0,0.679
381,0.296,1.0,0.0,0.0
382,0.6476,0.3,0.0,0.7
383,0.0,0.0,0.0,1.0
384,-0.2263,0.0,0.045,0.955
385,0.0772,0.106,0.0,0.894
386,0.2975,0.525,0.0,0.475
387,0.4019,0.351,0.0,0.649
388,0.0,0.0,0.0,0.0
389,-0.2732,0.0,0.344,0.656
390,0.0,0.0,0.0,1.0
391,0.0,0.0,0.0,1.0
392,0.0,0.0,0.0,1.0
393,0.0,0.0,0.0,1.0
394,0.7178,0.231,0.0,0.769
395,0.0,0.0,0.0,1.0
396,0.0,0.0,0.0,1.0
397,0.0,0.0,0.0,1.0
398,0.5719,0.144,0.0,0.856
399,0.0,0.0,0.0,1.0
400,0.2144,0.129,0.054,0.816
401,0.281,0.177,0.095,0.728
402,0.0516,0.162,0.103,0.735
403,0.0,0.0,0.0,1.0
404,0.7096,0.258,0.0,0.742
405,0.0,0.0,0.0,1.0
406,-0.8442,0.0,0.259,0.741
407,0.6581,0.16,0.0,0.84
408,0.0,0.0,0.0,1.0
409,-0.5429,0.121,0.174,0.705
410,0.3455,0.173,0.138,0.689
411,0.7906,0.632,0.105,0.263
412,0.4574,0.272,0.0,0.728
413,0.4574,0.374,0.0,0.626
414,-0.0516,0.0,0.545,0.455
415,0.2732,0.677,0.0,0.323
416,0.0,0.0,0.0,0.0
417,-0.3607,0.143,0.266,0.591
418,0.4019,1.0,0.0,0.0
419,0.0,0.0,0.0,1.0
420,0.0,0.0,0.0,0.0
421,0.0,0.0,0.0,1.0
422,-0.128,0.1,0.123,0.776
423,0.4588,1.0,0.0,0.0
424,0.6249,0.804,0.0,0.196
425,0.5267,0.218,0.121,0.661
426,0.0,0.0,0.0,1.0
427,0.0,0.0,0.0,1.0
428,0.296,0.216,0.0,0.784
429,0.0,0.0,0.0,1.0
430,0.5719,0.209,0.0,0.791
431,0.5994,0.259,0.0,0.741
432,0.296,1.0,0.0,0.0
433,0.4767,0.211,0.121,0.669
434,0.1207,0.094,0.107,0.799
435,-0.2263,0.227,0.331,0.442
436,0.0,0.0,0.0,1.0
437,-0.296,0.0,0.524,0.476
438,-0.6808,0.0,0.535,0.465
439,0.6249,0.204,0.0,0.796
440,0.4939,0.344,0.0,0.656
441,-0.1739,0.095,0.112,0.793
442,0.1901,0.084,0.0,0.916
443,0.8268,0.296,0.078,0.627
444,0.0,0.0,0.0,0.0
445,0.8537,0.389,0.063,0.548
446,0.0,0.0,0.0,1.0
447,-0.0387,0.073,0.077,0.85
448,0.0,0.0,0.0,1.0
449,0.0,0.0,0.0,1.0
450,0.0,0.0,0.0,1.0
451,0.5267,0.257,0.101,0.642
452,0.0,0.0,0.0,1.0
453,0.0,0.0,0.0,1.0
454,0.9021,0.266,0.039,0.695
455,0.0,0.0,0.0,1.0
456,0.0,0.0,0.0,1.0
457,0.0,0.0,0.0,1.0
458,0.0,0.0,0.0,1.0
459,0.0,0.0,0.0,1.0
460,0.4019,0.072,0.0,0.928
461,0.0772,0.035,0.0,0.965
462,0.7424,0.677,0.0,0.323
463,0.0,0.0,0.0,1.0
464,0.0,0.0,0.0,1.0
465,0.5574,0.087,0.0,0.913
466,0.0,0.0,0.0,1.0
467,0.0,0.0,0.0,1.0
468,0.8949,0.18,0.0,0.82
469,-0.2023,0.0,1.0,0.0
470,0.25,0.073,0.053,0.874
471,0.8658,0.339,0.103,0.558
472,0.0,0.0,0.0,1.0
473,0.3182,0.697,0.0,0.303
474,0.8271,0.228,0.0,0.772
475,0.4019,1.0,0.0,0.0
476,0.4019,1.0,0.0,0.0
477,0.5574,0.118,0.0,0.882
478,0.6908,0.172,0.073,0.755
479,-0.296,0.0,0.115,0.885
480,0.4019,0.208,0.153,0.639
481,0.0,0.0,0.0,1.0
482,0.0,0.0,0.0,1.0
483,0.0,0.0,0.0,1.0
484,0.0,0.0,0.0,1.0
485,0.0,0.0,0.0,1.0
486,-0.0258,0.094,0.097,0.809
487,0.296,0.104,0.0,0.896
488,-0.6625,0.0,0.205,0.795
489,-0.128,0.145,0.187,0.669
490,0.0,0.0,0.0,1.0
491,0.0,0.0,0.0,1.0
492,0.802,0.706,0.0,0.294
493,0.4019,1.0,0.0,0.0
494,0.8316,0.299,0.0,0.701
495,0.9055,0.577,0.0,0.423
496,0.0,0.0,0.0,1.0
497,0.802,0.706,0.0,0.294
498,0.1027,0.076,0.0,0.924
499,-0.6486,0.0,0.346,0.654
500,0.0,0.0,0.0,1.0
501,0.0,0.0,0.0,1.0
502,-0.0772,0.152,0.168,0.681
503,0.0,0.0,0.0,0.0
504,0.0,0.188,0.188,0.625
505,0.807,0.422,0.0,0.578
506,0.3182,0.697,0.0,0.303
507,0.2263,0.388,0.0,0.612
508,0.0,0.0,0.0,1.0
509,0.3182,1.0,0.0,0.0
510,0.0,0.0,0.0,1.0
511,0.0,0.0,0.0,1.0
512,-0.0772,0.0,0.178,0.822
513,0.1531,0.127,0.1,0.773
514,0.4404,0.266,0.0,0.734
515,0.2023,0.083,0.06,0.857
516,0.0,0.0,0.0,1.0
517,0.0,0.0,0.0,1.0
518,0.0,0.0,0.0,1.0
519,0.0,0.0,0.0,1.0
520,0.3612,0.143,0.0,0.857
521,0.0,0.0,0.0,1.0
522,0.7351,0.205,0.0,0.795
523,0.0,0.0,0.0,1.0
524,0.0,0.0,0.0,1.0
525,0.4939,0.132,0.0,0.868
526,0.4215,0.269,0.112,0.62
527,0.0762,0.139,0.0,0.861
528,0.2023,0.265,0.0,0.735
529,0.4404,0.146,0.0,0.854
530,0.5859,0.109,0.0,0.891
531,0.4404,0.326,0.0,0.674
532,0.0,0.0,0.0,0.0
533,0.4767,0.437,0.0,0.563
534,0.0,0.0,0.0,1.0
535,-0.296,0.0,0.524,0.476
536,-0.5859,0.0,0.655,0.345
537,-0.2244,0.159,0.215,0.625
538,0.6249,0.298,0.0,0.702
539,0.6124,0.136,0.035,0.829
540,0.8622,0.335,0.0,0.665
541,-0.8934,0.0,0.308,0.692
542,-0.7425,0.139,0.225,0.636
543,0.0516,0.057,0.072,0.87
544,0.4019,1.0,0.0,0.0
545,-0.4989,0.081,0.248,0.672
546,0.7003,0.345,0.0,0.655
547,0.2114,0.099,0.074,0.827
548,0.0,0.0,0.0,1.0
549,-0.3382,0.127,0.236,0.637
550,0.6124,0.17,0.06,0.769
551,-0.296,0.0,0.18,0.82
552,0.0,0.0,0.0,1.0
